title,price,star_rating,availability,category
It's Only the Himalayas,£45.17,Two,In stock,Travel
Full Moon over Noah’s Ark: An Odyssey to Mount Ararat and Beyond,£49.43,Four,In stock,Travel
See America: A Celebration of Our National Parks & Treasured Sites,£48.87,Three,In stock,Travel
Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,£36.94,Two,In stock,Travel
Under the Tuscan Sun,£37.33,Three,In stock,Travel
A Summer In Europe,£44.34,Two,In stock,Travel
The Great Railway Bazaar,£30.54,One,In stock,Travel
A Year in Provence (Provence #1),£56.88,Four,In stock,Travel
The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),£23.21,One,In stock,Travel
Neither Here nor There: Travels in Europe,£38.95,Three,In stock,Travel
"1,000 Places to See Before You Die",£26.08,Five,In stock,Travel
Sharp Objects,£47.82,Four,In stock,Mystery
"In a Dark, Dark Wood",£19.63,One,In stock,Mystery
The Past Never Ends,£56.50,Four,In stock,Mystery
A Murder in Time,£16.64,One,In stock,Mystery
The Murder of Roger Ackroyd (Hercule Poirot #4),£44.10,Four,In stock,Mystery
The Last Mile (Amos Decker #2),£54.21,Two,In stock,Mystery
That Darkness (Gardiner and Renner #1),£13.92,One,In stock,Mystery
Tastes Like Fear (DI Marnie Rome #3),£10.69,One,In stock,Mystery
A Time of Torment (Charlie Parker #14),£48.35,Five,In stock,Mystery
A Study in Scarlet (Sherlock Holmes #1),£16.73,Two,In stock,Mystery
Poisonous (Max Revere Novels #3),£26.80,Three,In stock,Mystery
Murder at the 42nd Street Library (Raymond Ambler #1),£54.36,Four,In stock,Mystery
Most Wanted,£35.28,Three,In stock,Mystery
Hide Away (Eve Duncan #20),£11.84,One,In stock,Mystery
Boar Island (Anna Pigeon #19),£59.48,Three,In stock,Mystery
The Widow,£27.26,Two,In stock,Mystery
Soumission,£50.10,One,In stock,Fiction
Private Paris (Private #10),£47.61,Five,In stock,Fiction
"We Love You, Charlie Freeman",£50.27,Five,In stock,Fiction
Thirst,£17.27,Five,In stock,Fiction
The Murder That Never Was (Forensic Instincts #5),£54.11,Three,In stock,Fiction
Tuesday Nights in 1980,£21.04,Two,In stock,Fiction
The Vacationers,£42.15,Four,In stock,Fiction
The Regional Office Is Under Attack!,£51.36,Five,In stock,Fiction
Finders Keepers (Bill Hodges Trilogy #2),£53.53,Five,In stock,Fiction
The Time Keeper,£27.88,Five,In stock,Fiction
The Testament of Mary,£52.67,Four,In stock,Fiction
The First Hostage (J.B. Collins #2),£25.85,Three,In stock,Fiction
Take Me with You,£45.21,Three,In stock,Fiction
Still Life with Bread Crumbs,£26.41,Three,In stock,Fiction
Shtum,£55.84,Four,In stock,Fiction
My Name Is Lucy Barton,£41.56,One,In stock,Fiction
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,£42.96,Four,In stock,Science
Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,£57.36,Five,In stock,Science
Sorting the Beef from the Bull: The Science of Food Fraud Forensics,£44.74,Four,In stock,Science
Tipping Point for Planet Earth: How Close Are We to the Edge?,£37.55,One,In stock,Science
"The Fabric of the Cosmos: Space, Time, and the Texture of Reality",£55.91,One,In stock,Science
Diary of a Citizen Scientist: Chasing Tiger Beetles and Other New Ways of Engaging the World,£28.41,One,In stock,Science
The Origin of Species,£10.01,Four,In stock,Science
The Grand Design,£13.76,Three,In stock,Science
Peak: Secrets from the New Science of Expertise,£16.28,Two,In stock,Science
"The Elegant Universe: Superstrings, Hidden Dimensions, and the Quest for the Ultimate Theory",£13.03,Four,In stock,Science
"The Disappearing Spoon: And Other True Tales of Madness, Love, and the History of the World from the Periodic Table of the Elements",£57.35,Five,In stock,Science
"Surely You're Joking, Mr. Feynman!: Adventures of a Curious Character",£25.83,Two,In stock,Science
Seven Brief Lessons on Physics,£30.60,Four,In stock,Science
The Selfish Gene,£29.45,One,In stock,Science
Security,£39.25,Two,In stock,Horror
Follow You Home,£21.36,One,In stock,Horror
The Loney,£23.40,One,In stock,Horror
Pet Sematary,£10.56,Three,In stock,Horror
Doctor Sleep (The Shining #2),£40.12,Two,In stock,Horror
Psycho: Sanitarium (Psycho #1.5),£36.97,Five,In stock,Horror
Can You Keep a Secret? (Fear Street Relaunch #4),£48.64,One,In stock,Horror
Red Dragon (Hannibal Lecter #1),£23.37,Three,In stock,Horror
Dracula the Un-Dead,£35.63,Five,In stock,Horror
Night Shift (Night Shift #1-20),£12.75,Four,In stock,Horror
Needful Things,£47.51,Four,In stock,Horror
Misery,£34.79,Two,In stock,Horror
It,£25.01,Three,In stock,Horror
'Salem's Lot,£49.56,Four,In stock,Horror
The Stand,£57.86,Two,In stock,Horror
The Girl with All the Gifts,£49.47,Three,In stock,Horror
