title,category,price_gbp,rating,in_stock,price_inr
It's Only the Himalayas,Travel,45.17,2,True,4765.44
Full Moon over Noah’s Ark: An Odyssey to Mount Ararat and Beyond,Travel,49.43,4,True,5214.86
See America: A Celebration of Our National Parks & Treasured Sites,Travel,48.87,3,True,5155.78
Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,Travel,36.94,2,True,3897.17
Under the Tuscan Sun,Travel,37.33,3,True,3938.31
A Summer In Europe,Travel,44.34,2,True,4677.87
The Great Railway Bazaar,Travel,30.54,1,True,3221.97
A Year in Provence (Provence #1),Travel,56.88,4,True,6000.84
The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),Travel,23.21,1,True,2448.66
Neither Here nor There: Travels in Europe,Travel,38.95,3,True,4109.23
"1,000 Places to See Before You Die",Travel,26.08,5,True,2751.44
Sharp Objects,Mystery,47.82,4,True,5045.01
"In a Dark, Dark Wood",Mystery,19.63,1,True,2070.96
The Past Never Ends,Mystery,56.5,4,True,5960.75
A Murder in Time,Mystery,16.64,1,True,1755.52
The Murder of Roger Ackroyd (Hercule Poirot #4),Mystery,44.1,4,True,4652.55
The Last Mile (Amos Decker #2),Mystery,54.21,2,True,5719.16
That Darkness (Gardiner and Renner #1),Mystery,13.92,1,True,1468.56
Tastes Like Fear (DI Marnie Rome #3),Mystery,10.69,1,True,1127.79
A Time of Torment (Charlie Parker #14),Mystery,48.35,5,True,5100.92
A Study in Scarlet (Sherlock Holmes #1),Mystery,16.73,2,True,1765.02
Poisonous (Max Revere Novels #3),Mystery,26.8,3,True,2827.4
Murder at the 42nd Street Library (Raymond Ambler #1),Mystery,54.36,4,True,5734.98
Most Wanted,Mystery,35.28,3,True,3722.04
Hide Away (Eve Duncan #20),Mystery,11.84,1,True,1249.12
Boar Island (Anna Pigeon #19),Mystery,59.48,3,True,6275.14
The Widow,Mystery,27.26,2,True,2875.93
Soumission,Fiction,50.1,1,True,5285.55
Private Paris (Private #10),Fiction,47.61,5,True,5022.85
"We Love You, Charlie Freeman",Fiction,50.27,5,True,5303.48
Thirst,Fiction,17.27,5,True,1821.98
The Murder That Never Was (Forensic Instincts #5),Fiction,54.11,3,True,5708.6
Tuesday Nights in 1980,Fiction,21.04,2,True,2219.72
The Vacationers,Fiction,42.15,4,True,4446.82
The Regional Office Is Under Attack!,Fiction,51.36,5,True,5418.48
Finders Keepers (Bill Hodges Trilogy #2),Fiction,53.53,5,True,5647.42
The Time Keeper,Fiction,27.88,5,True,2941.34
The Testament of Mary,Fiction,52.67,4,True,5556.68
The First Hostage (J.B. Collins #2),Fiction,25.85,3,True,2727.18
Take Me with You,Fiction,45.21,3,True,4769.66
Still Life with Bread Crumbs,Fiction,26.41,3,True,2786.26
Shtum,Fiction,55.84,4,True,5891.12
My Name Is Lucy Barton,Fiction,41.56,1,True,4384.58
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,Science,42.96,4,True,4532.28
Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,Science,57.36,5,True,6051.48
Sorting the Beef from the Bull: The Science of Food Fraud Forensics,Science,44.74,4,True,4720.07
Tipping Point for Planet Earth: How Close Are We to the Edge?,Science,37.55,1,True,3961.52
"The Fabric of the Cosmos: Space, Time, and the Texture of Reality",Science,55.91,1,True,5898.5
Diary of a Citizen Scientist: Chasing Tiger Beetles and Other New Ways of Engaging the World,Science,28.41,1,True,2997.26
The Origin of Species,Science,10.01,4,True,1056.06
The Grand Design,Science,13.76,3,True,1451.68
Peak: Secrets from the New Science of Expertise,Science,16.28,2,True,1717.54
"The Elegant Universe: Superstrings, Hidden Dimensions, and the Quest for the Ultimate Theory",Science,13.03,4,True,1374.66
"The Disappearing Spoon: And Other True Tales of Madness, Love, and the History of the World from the Periodic Table of the Elements",Science,57.35,5,True,6050.42
"Surely You're Joking, Mr. Feynman!: Adventures of a Curious Character",Science,25.83,2,True,2725.06
Seven Brief Lessons on Physics,Science,30.6,4,True,3228.3
The Selfish Gene,Science,29.45,1,True,3106.98
Security,Horror,39.25,2,True,4140.88
Follow You Home,Horror,21.36,1,True,2253.48
The Loney,Horror,23.4,1,True,2468.7
Pet Sematary,Horror,10.56,3,True,1114.08
Doctor Sleep (The Shining #2),Horror,40.12,2,True,4232.66
Psycho: Sanitarium (Psycho #1.5),Horror,36.97,5,True,3900.34
Can You Keep a Secret? (Fear Street Relaunch #4),Horror,48.64,1,True,5131.52
Red Dragon (Hannibal Lecter #1),Horror,23.37,3,True,2465.54
Dracula the Un-Dead,Horror,35.63,5,True,3758.96
Night Shift (Night Shift #1-20),Horror,12.75,4,True,1345.12
Needful Things,Horror,47.51,4,True,5012.3
Misery,Horror,34.79,2,True,3670.34
It,Horror,25.01,3,True,2638.56
'Salem's Lot,Horror,49.56,4,True,5228.58
The Stand,Horror,57.86,2,True,6104.23
The Girl with All the Gifts,Horror,49.47,3,True,5219.08
